Id,num_faces,largest_face_area_ratio,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral,emotion_unknown
FozCkl1xj-w,3,0.3440616155174947,0,0,0,1,0,0,0,0
RN8yoi-e2yc,0,0.0,0,0,0,0,1,0,0,0
IugcIAAZJ2M,0,0.0,1,0,0,0,0,0,0,0
JiEO6F8i0eU,1,0.12935253618315226,0,0,1,0,0,0,0,0
0ZWGeidvrJw,1,0.17918245854544543,0,0,0,0,1,0,0,0
YiEj9mrqTN0,0,0.0,0,0,0,0,1,0,0,0
PZFLM2DVQHs,1,0.0005687562387659758,0,0,1,0,0,0,0,0
CoDpjqZpAh0,0,0.0,0,0,0,1,0,0,0,0
VT128ElBWkM,0,0.0,0,0,0,0,0,0,1,0
VjINuQX4hbM,0,0.0,0,0,0,1,0,0,0,0
529h0a2RMt4,2,0.032724706566867906,0,0,0,0,0,0,1,0
WA-q4pXd0Pk,0,0.0,0,0,0,0,1,0,0,0
A0Lf8eP41vs,3,0.1603012696765698,0,0,0,0,1,0,0,0
gCG52EeOv38,2,0.005105819886443391,0,0,0,1,0,0,0,0
16q8_32M03k,0,0.0,0,0,0,0,0,1,0,0
OTfp2_SwxHk,1,0.17717402083463993,0,0,0,0,0,0,1,0
ATlila3e9dM,1,0.02493967136934872,0,0,0,0,0,1,0,0
P1FUMdHU29c,2,0.11682315817011853,0,0,0,0,0,0,1,0
R-NIThUYa_0,0,0.0,0,0,0,1,0,0,0,0
qKFep4ekvx0,0,0.0,1,0,0,0,0,0,0,0
OX31kZbAXsA,5,0.046644084553704994,0,0,0,0,0,0,1,0
94b2pr9Prog,1,0.16067994550433823,0,0,0,0,0,0,1,0
R8rmfD9Y5-c,0,0.0,0,0,0,0,0,0,1,0
ou7KSmfC3lA,1,0.03413841494013872,0,0,0,0,0,0,1,0
Honkq3fKFoA,1,0.0037302080260512107,0,0,0,0,0,0,1,0
VnIsuYVlSls,1,0.07584734947918656,0,0,0,0,0,0,1,0
hc3TEaT3WHA,0,0.0,0,0,0,0,1,0,0,0
pYy5-KowMj0,2,0.03925009794157025,0,0,0,0,0,0,1,0
0i5rycLJ3D8,0,0.0,0,0,0,0,1,0,0,0
zO9fZaFfNAs,1,0.025250676484846128,0,0,0,0,1,0,0,0
5pP8TLwO_Ks,0,0.0,0,0,0,0,0,0,1,0
CfmzxyvKZ1w,1,0.19427934187973506,0,0,0,0,1,0,0,0
QtUgq2Q1ivA,4,0.044048775431080385,0,0,0,1,0,0,0,0
qd9oEhlyIKY,0,0.0,0,0,0,1,0,0,0,0
YtTOQSRMRcM,0,0.0,1,0,0,0,0,0,0,0
mRcRtmG0Zy4,3,0.00875126148153716,0,0,0,1,0,0,0,0
JeswElZRJ_Y,0,0.0,0,0,0,0,0,0,1,0
zQGOcOUBi6s,0,0.0,0,0,0,1,0,0,0,0
m6pJd6O_NT0,1,0.14165445270798954,0,0,0,0,0,0,1,0
85GSILNh6U4,3,0.15762000293934383,0,0,0,0,1,0,0,0
GqkoykvCV1I,1,0.07486186755309973,0,0,0,0,0,0,1,0
B1Kaq0_FqGs,0,0.0,0,0,0,0,1,0,0,0
xetnJ_gNRBQ,0,0.0,0,0,0,0,0,0,1,0
HgFzP5m1k_c,0,0.0,0,0,0,1,0,0,0,0
7yub7hDEfzI,1,0.17664574474962136,0,0,0,0,0,1,0,0
FcX0pkXSKl4,0,0.0,0,0,0,0,0,0,1,0
UEob1L_tsn0,7,0.05478045291461361,0,0,1,0,0,0,0,0
OoH8G4ZJqOE,0,0.0,0,0,1,0,0,0,0,0
wTziIhu8yvU,1,0.0009356590242835713,0,0,0,0,1,0,0,0
BQTwvbWAx8A,1,0.0014269702417307902,0,0,0,0,1,0,0,0
JUBSQXmm-3k,1,0.29363707741101736,1,0,0,0,0,0,0,0
OETj9aTYO2Q,0,0.0,0,0,1,0,0,0,0,0
9E3FAKBlZh4,1,0.0018781752639915794,0,0,0,0,1,0,0,0
-6Up7CG5d6M,1,0.07081764527150275,0,0,0,0,0,0,1,0
L_6SAsypMNM,2,0.0015008002956528798,1,0,0,0,0,0,0,0
rlK7JIAz9WY,0,0.0,0,0,0,1,0,0,0,0
cX1nCBVNRqc,0,0.0,0,0,0,1,0,0,0,0
-naamtpQ8lw,1,0.008385870121433072,0,0,0,0,0,0,1,0
Xc4xYacTu-E,0,0.0,0,0,0,1,0,0,0,0
ifTF3ags0XI,0,0.0,0,0,1,0,0,0,0,0
SR5kfWXfxto,1,0.15578721472443627,0,0,0,0,1,0,0,0
s6y7zf9Lx-w,1,0.03508645343083761,0,0,0,0,0,1,0,0
i1iqVGORUck,1,0.032200145686033466,1,0,0,0,0,0,0,0
cdiFhv3gsyo,4,0.022643935426805102,0,0,0,0,1,0,0,0
wcueSXGueJs,0,0.0,1,0,0,0,0,0,0,0
7NZ9X9A2efA,1,0.006257786702846917,0,0,0,0,0,1,0,0
M-VQlqE9M1M,0,0.0,0,0,0,0,0,0,1,0
s1ax8Tx_Jz0,1,0.12153007433881612,0,0,0,0,0,1,0,0
GLoeAJUcz38,0,0.0,0,0,0,0,0,0,1,0
q8f4uxCGWJA,1,0.0003472411716615574,0,0,0,0,1,0,0,0
oakWgLqCwUc,0,0.0,0,0,0,0,0,0,1,0
yJS9HPeyu6A,2,0.022904542221410036,0,0,1,0,0,0,0,0
S_0geClYYJI,2,0.01523488857949461,0,0,0,1,0,0,0,0
kAgTZSJ4jo8,3,0.1056975189354489,0,0,0,0,1,0,0,0
p2q02Bxtqds,0,0.0,0,0,0,0,1,0,0,0
_W_l79lNtA4,1,0.002663877507681415,0,0,1,0,0,0,0,0
QWveXdj6oZU,1,0.08495030942644412,0,0,0,0,1,0,0,0
KTeXDOC_fRg,0,0.0,0,0,1,0,0,0,0,0
TjP0UgI8CTg,1,0.1725699062813419,0,0,0,1,0,0,0,0
zwAD6dRSVyI,0,0.0,0,0,1,0,0,0,0,0
m-_yImAhNj0,2,0.04624570787422221,0,0,1,0,0,0,0,0
4kEil-H7490,0,0.0,0,0,0,0,0,0,1,0
sGCKnuKH5dQ,2,0.1228935916128013,0,0,1,0,0,0,0,0
FSs_JYwnAdI,0,0.0,0,0,1,0,0,0,0,0
L45Q1_psDqk,0,0.0,0,0,0,0,1,0,0,0
1VZkiQUzITU,0,0.0,0,0,1,0,0,0,0,0
ANQcBnQSQOU,1,0.15774544135051857,1,0,0,0,0,0,0,0
K_NRBkJtNAI,0,0.0,0,0,0,0,1,0,0,0
IiVDtNjORbY,1,0.04730175453294578,0,0,0,1,0,0,0,0
Xh6rc-t47rQ,0,0.0,1,0,0,0,0,0,0,0
