Id,Channel,Subscribers,Title,URL,Released,Views,Category,Length,views,subscriber_count,normalized_performance,engagement_label
aXRTczANuIs,3Blue1Brown,8.20M subscribers,How wiggling charges give rise to light,https://www.youtube.com/watch?v=aXRTczANuIs,2023-09-01,1.7M views,Education,21:33,1700000.0,8199999.999999999,0.2073170731707317,3
QCX62YJCmGk,3Blue1Brown,8.20M subscribers,This tests your understanding of light | The barber pole effect,https://www.youtube.com/watch?v=QCX62YJCmGk,2023-09-01,1.4M views,Education,9:57,1400000.0,8199999.999999999,0.17073170731707318,3
d_qvLDhkg00,3Blue1Brown,8.20M subscribers,A pretty reason why Gaussian + Gaussian = Gaussian,https://www.youtube.com/watch?v=d_qvLDhkg00,2023-07-11,929.4K views,Education,13:16,929400.0,8199999.999999999,0.11334146341463415,2
YtkIWDE36qU,3Blue1Brown,8.20M subscribers,"This pattern breaks, but for a good reason | Moser's circle problem",https://www.youtube.com/watch?v=YtkIWDE36qU,2023-07-02,2.8M views,Education,16:13,2800000.0,8199999.999999999,0.34146341463414637,3
NOCsdhzo6Jg,3Blue1Brown,8.20M subscribers,How They Fool Ya (live) | Math parody of Hallelujah,https://www.youtube.com/watch?v=NOCsdhzo6Jg,2023-06-28,1.1M views,Education,4:00,1100000.0,8199999.999999999,0.13414634146341464,2
IaSGqQa5O-M,3Blue1Brown,8.20M subscribers,Convolutions | Why X+Y in probability is a beautiful mess,https://www.youtube.com/watch?v=IaSGqQa5O-M,2023-06-27,945.9K views,Education,27:25,945900.0,8199999.999999999,0.11535365853658537,2
cy8r7WSuT1I,3Blue1Brown,8.20M subscribers,Why π is in the normal distribution (beyond integral tricks),https://www.youtube.com/watch?v=cy8r7WSuT1I,2023-04-02,2.1M views,Education,24:46,2100000.0,8199999.999999999,0.25609756097560976,3
zeJD6dqJ5lo,3Blue1Brown,8.20M subscribers,But what is the Central Limit Theorem?,https://www.youtube.com/watch?v=zeJD6dqJ5lo,2023-03-14,4.3M views,Education,31:15,4300000.0,8199999.999999999,0.524390243902439,4
KuXjwB4LzSA,3Blue1Brown,8.20M subscribers,But what is a convolution?,https://www.youtube.com/watch?v=KuXjwB4LzSA,2022-11-18,3.5M views,Education,23:01,3500000.0,8199999.999999999,0.4268292682926829,4
851U557j6HE,3Blue1Brown,8.20M subscribers,Researchers thought this was a bug (Borwein integrals),https://www.youtube.com/watch?v=851U557j6HE,2022-11-04,4.5M views,Education,17:26,4500000.0,8199999.999999999,0.5487804878048781,4
