model,seed,epochs_ran,test_loss,test_mae,test_rmse,test_r2,test_spearman
CNN-only,42,15,0.13692359783499597,0.3865388333797455,0.5533283937283535,0.10475075244903564,0.4245423942423243
CNN-only,43,16,0.1342036758793056,0.3834349811077118,0.5445130157701551,0.1330488920211792,0.4724423546155572
CNN-only,44,12,0.12869137717885468,0.37783685326576233,0.5341791016960767,0.16564315557479858,0.4561583932023068
CNN-only,45,17,0.13381076883420132,0.3801780641078949,0.5478006431049361,0.12254852056503296,0.47996999608543356
CNN-only,46,12,0.13118587443490087,0.3780980706214905,0.541925484616587,0.14126890897750854,0.48151824658573034
CNN + Text,42,11,0.1265216153512231,0.38636717200279236,0.5273937625481446,0.18670517206192017,0.4566146417900028
CNN + Text,43,9,0.12914688567036195,0.3980015516281128,0.5349431414114512,0.16325467824935913,0.46307327964354017
CNN + Text,44,12,0.12456664295007885,0.3780198395252228,0.5231204709730902,0.19983142614364624,0.481354439024373
CNN + Text,45,20,0.13046552992596236,0.37125441431999207,0.540015277028327,0.14731204509735107,0.4717351595497457
CNN + Text,46,12,0.1294427960191244,0.3817964494228363,0.5363730081891513,0.15877562761306763,0.4590456044006347
CNN + Face,42,23,0.06164090511181071,0.22854556143283844,0.3741330416968891,0.5907108783721924,0.8023627429213478
CNN + Face,43,29,0.061053578822333136,0.22390881180763245,0.37190925937207847,0.5955619215965271,0.8082553028133656
CNN + Face,44,23,0.06216023411647773,0.22710956633090973,0.3755133611788376,0.5876852869987488,0.8063703368291447
CNN + Face,45,23,0.062360245234821116,0.2293999344110489,0.37619505639511447,0.5861868858337402,0.8026141608038401
CNN + Face,46,29,0.06031097080370392,0.22719474136829376,0.36958004264413064,0.6006119251251221,0.8060552035339462
CNN + Text + Face,42,30,0.05935960918598036,0.2227865606546402,0.36594248786999584,0.6084351539611816,0.8076754810681118
CNN + Text + Face,43,22,0.058642855290361125,0.22326502203941345,0.36433724772161585,0.61186283826828,0.8036102906287532
CNN + Text + Face,44,28,0.061082559826916585,0.22822634875774384,0.37168776502867606,0.5960435271263123,0.7979828345185276
CNN + Text + Face,45,18,0.06292306613407017,0.23814475536346436,0.3749018779174423,0.5890270471572876,0.7975002935931461
CNN + Text + Face,46,30,0.060326085061119195,0.22933338582515717,0.3686665311192843,0.6025838851928711,0.8052207878326975
